Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,LogHP,SqrtHP,std_HP,std_Attack,std_Defense,std_Sp. Atk,std_Sp. Def,std_Speed,std_LogHP,std_SqrtHP,norm_HP,norm_Attack,norm_Defense,norm_Sp. Atk,norm_Sp. Def,norm_Speed,norm_LogHP,norm_SqrtHP,is_Bug,is_Dark,is_Dragon,is_Electric,is_Fighting,is_Fire,is_Ghost,is_Grass,is_Ground,is_Ice,is_Normal,is_Poison,is_Psychic,is_Rock,is_Steel,is_Water
Bug,,50,40,85,40,65,25,False,3.912023005428146,7.0710678118654755,-0.7479775078666173,-1.2153397457255408,0.3483543523751598,-0.9944370338985871,-0.23847068376799305,-1.5050884024248603,-0.6594254243074995,-0.7487288385779822,0.19291338582677164,0.1891891891891892,0.35555555555555557,0.16304347826086957,0.2142857142857143,0.11428571428571428,0.7059803190278149,0.40558364683289894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bug,Flying,55,35,50,55,110,85,False,4.007333185232471,7.416198487095663,-0.5526327047862583,-1.3696340191805925,-0.7660280737082308,-0.536668489102456,1.3825473149690641,0.5693957451773326,-0.4147138480962242,-0.5161065066093017,0.2125984251968504,0.16216216216216217,0.19999999999999998,0.24456521739130435,0.4285714285714286,0.45714285714285713,0.7231803996642251,0.42864044050273414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,,75,98,63,98,63,101,False,4.31748811353631,8.660254037844387,0.2287465075351781,0.5744738263530574,-0.35211460116297144,0.7756013393131199,-0.3105159281563067,1.1225915178712507,0.38161768260437373,0.32240227885503076,0.29133858267716534,0.5027027027027027,0.25777777777777783,0.4782608695652174,0.2047619047619048,0.5485714285714286,0.7791522778786859,0.5117507932069544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,Flying,60,85,60,50,50,125,False,4.0943445622221,7.745966692414834,-0.35728790170589914,0.1733087153699233,-0.44763309482726205,-0.6892580040344997,-0.7788100166803454,1.9523851769121279,-0.1913096822960943,-0.29383866884231985,0.23228346456692914,0.43243243243243246,0.24444444444444444,0.21739130434782608,0.14285714285714285,0.6857142857142857,0.7388828430294488,0.4506709292845407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Water,,50,65,64,44,48,43,False,3.912023005428146,7.0710678118654755,-0.7479775078666173,-0.443868378450283,-0.3202751032748746,-0.8723654219529521,-0.850855261068659,-0.8827431581442025,-0.6594254243074995,-0.7487288385779822,0.19291338582677164,0.32432432432432434,0.26222222222222225,0.1847826086956522,0.13333333333333336,0.21714285714285714,0.7059803190278149,0.40558364683289894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ghost,,40,70,130,60,130,25,False,3.6888794541139363,6.324555320336759,-1.1386671140273354,-0.28957410499523145,1.7811317573395191,-0.38407897417041226,2.1029997588522007,-1.5050884024248603,-1.2323527892079675,-1.2518874654005303,0.15354330708661418,0.35135135135135137,0.5555555555555555,0.2717391304347826,0.5238095238095238,0.11428571428571428,0.6657108841785778,0.3557121467767175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psychic,,95,23,48,23,48,23,False,4.553876891600541,9.746794344808963,1.0101257198566145,-1.7399402754727162,-0.8297070694844245,-1.5132413846675357,-0.850855261068659,-1.5742378740116,0.9885525409533672,1.0547438472058874,0.3700787401574803,0.0972972972972973,0.1911111111111111,0.07065217391304349,0.13333333333333336,0.10285714285714286,0.8218120027118011,0.5843381853735097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rock,Dark,100,164,150,95,120,71,False,4.605170185988092,10.0,1.2054705229369735,2.611158235959738,2.4179217151014565,0.6840476303538937,1.7427735369106323,0.08534944407015423,1.12024952174195,1.2254075818591805,0.38976377952755903,0.8594594594594596,0.6444444444444444,0.4619565217391304,0.4761904761904763,0.3771428571428571,0.8310686088936831,0.6012538378111884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dark,Steel,65,125,100,60,70,70,False,4.174387269895637,8.06225774829855,-0.16194309862554007,1.4076629030103358,0.8259468206966128,-0.38407897417041226,-0.05835757279720892,0.05077470827678435,0.014202228385670543,-0.08065459602284714,0.25196850393700787,0.6486486486486487,0.4222222222222222,0.2717391304347826,0.23809523809523814,0.37142857142857144,0.7533276906749776,0.4718010638640337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psychic,,74,48,76,83,81,104,False,4.30406509320417,8.602325267042627,0.1896775469191063,-0.9684689081974583,0.061798871382287936,0.3178327945169888,0.33789127133851615,1.2263157252513603,0.34715369911659005,0.2833575728375284,0.2874015748031496,0.23243243243243245,0.3155555555555556,0.3967391304347826,0.2904761904761905,0.5657142857142857,0.7767299025083847,0.5078808047887051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ice,,51,65,65,80,75,59,False,3.9318256327243257,7.14142842854285,-0.7089085472505455,-0.443868378450283,-0.28843560538677765,0.22627908555776258,0.1217555381735752,-0.32954738545028434,-0.6085816199130326,-0.701304915105144,0.1968503937007874,0.32432432432432434,0.26666666666666666,0.3804347826086956,0.2619047619047619,0.30857142857142855,0.7095539854190267,0.41028415692268044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric,Dragon,90,95,105,165,110,45,False,4.499809670330265,9.486832980505138,0.8147809167762554,0.48189726228002644,0.9851443101370972,2.8203008394025058,1.3825473149690641,-0.8135936865574627,0.84973342461578,0.8795266812852323,0.35039370078740156,0.48648648648648657,0.4444444444444445,0.842391304347826,0.4285714285714286,0.22857142857142854,0.81205480188032,0.5669712111545867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,,70,60,75,110,75,90,False,4.248495242049359,8.366600265340756,0.03340170445481903,-0.5981626519053346,0.029959373494191064,1.1418161751500249,0.1217555381735752,0.742269424144182,0.2044765381476564,0.12447601424341645,0.27165354330708663,0.2972972972972973,0.3111111111111111,0.5434782608695652,0.2619047619047619,0.48571428571428565,0.7667015306935548,0.4921329645730052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,Ground,55,45,45,25,25,15,False,4.007333185232471,7.416198487095663,-0.5526327047862583,-1.0610454722704894,-0.9252255631487152,-1.4522055786947181,-1.679375571534266,-1.850835760358559,-0.4147138480962242,-0.5161065066093017,0.2125984251968504,0.21621621621621623,0.17777777777777778,0.08152173913043478,0.023809523809523808,0.05714285714285715,0.7231803996642251,0.42864044050273414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Grass,Poison,80,105,65,100,70,70,False,4.382026634673881,8.94427190999916,0.4240913106155372,0.7904858091901296,-0.28843560538677765,0.8366371452859375,-0.05835757279720892,0.05077470827678435,0.5473221568414796,0.5138338277817105,0.3110236220472441,0.5405405405405406,0.26666666666666666,0.48913043478260865,0.23809523809523814,0.37142857142857144,0.7907991740444459,0.530724886055846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psychic,,75,75,130,75,130,95,True,4.31748811353631,8.660254037844387,0.2287465075351781,-0.13527983154017986,1.7811317573395191,0.07368957062571888,2.1029997588522007,0.9151431031110314,0.38161768260437373,0.32240227885503076,0.29133858267716534,0.3783783783783784,0.5555555555555555,0.35326086956521735,0.5238095238095238,0.5142857142857142,0.7791522778786859,0.5117507932069544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Grass,Dark,90,100,60,90,60,80,False,4.499809670330265,9.486832980505138,0.8147809167762554,0.636191535735078,-0.44763309482726205,0.53145811542185,-0.41858379473877716,0.39652206621048314,0.84973342461578,0.8795266812852323,0.35039370078740156,0.5135135135135136,0.24444444444444444,0.43478260869565216,0.19047619047619052,0.42857142857142855,0.81205480188032,0.5669712111545867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bug,,40,29,45,29,45,36,False,3.6888794541139363,6.324555320336759,-1.1386671140273354,-1.5547871473266544,-0.9252255631487152,-1.3301339667490832,-0.9589231276511295,-1.1247663086977917,-1.2323527892079675,-1.2518874654005303,0.15354330708661418,0.12972972972972974,0.17777777777777778,0.1032608695652174,0.11904761904761905,0.17714285714285713,0.6657108841785778,0.3557121467767175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,Ground,110,78,73,76,71,60,False,4.700480365792417,10.488088481701515,1.5961601290976917,-0.042703267467148906,-0.03371962228200268,0.10420747361212761,-0.022334950603052094,-0.29497264965691444,1.364961097953224,1.5543852386401453,0.42913385826771655,0.3945945945945946,0.3022222222222222,0.358695652173913,0.24285714285714288,0.3142857142857143,0.8482686895300933,0.6338610681239074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Grass,Poison,40,30,35,50,70,55,False,3.6888794541139363,6.324555320336759,-1.1386671140273354,-1.523928292635644,-1.243620542029684,-0.6892580040344997,-0.05835757279720892,-0.46784632862376385,-1.2323527892079675,-1.2518874654005303,0.15354330708661418,0.13513513513513514,0.13333333333333333,0.21739130434782608,0.23809523809523814,0.2857142857142857,0.6657108841785778,0.3557121467767175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark,Flying,100,125,52,105,52,71,False,4.605170185988092,10.0,1.2054705229369735,1.4076629030103358,-0.702349077932037,0.9892266602179811,-0.7067647722920318,0.08534944407015423,1.12024952174195,1.2254075818591805,0.38976377952755903,0.6486486486486487,0.20888888888888887,0.5163043478260869,0.1523809523809524,0.3771428571428571,0.8310686088936831,0.6012538378111884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghost,Grass,75,95,122,58,75,69,False,4.31748811353631,8.660254037844387,0.2287465075351781,0.48189726228002644,1.5264157742347442,-0.44511478014322975,0.1217555381735752,0.016199972483414468,0.38161768260437373,0.32240227885503076,0.29133858267716534,0.48648648648648657,0.52,0.2608695652173913,0.2619047619047619,0.3657142857142857,0.7791522778786859,0.5117507932069544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,,49,55,42,42,37,85,False,3.8918202981106265,7.0,-0.7870464684826891,-0.7524569253603861,-1.0207440568130057,-0.9334012279257696,-1.247104105204384,0.5693957451773326,-0.7112964454466382,-0.7966294203301904,0.1889763779527559,0.2702702702702703,0.16444444444444445,0.17391304347826086,0.08095238095238096,0.45714285714285713,0.7023344524934265,0.4008358918741255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Water,Fighting,90,95,95,70,90,70,False,4.499809670330265,9.486832980505138,0.8147809167762554,0.48189726228002644,0.6667493312561286,-0.07889994430632484,0.6620948710859276,0.05077470827678435,0.84973342461578,0.8795266812852323,0.35039370078740156,0.48648648648648657,0.4,0.3260869565217391,0.33333333333333337,0.37142857142857144,0.81205480188032,0.5669712111545867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Psychic,Fairy,28,25,25,45,35,40,False,3.332204510175204,5.291502622129181,-1.6074946414201974,-1.6782225660906955,-1.5620155209106525,-0.8418475189665434,-1.3191493495926978,-0.9864673655243121,-2.148125772802261,-1.9481777257296273,0.1062992125984252,0.10810810810810811,0.08888888888888888,0.19021739130434784,0.07142857142857144,0.19999999999999998,0.6013438059784495,0.2866980468368831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dark,Ice,55,95,55,35,75,115,False,4.007333185232471,7.416198487095663,-0.5526327047862583,0.48189726228002644,-0.6068305842677464,-1.1470265488306308,0.1217555381735752,1.606637818978429,-0.4147138480962242,-0.5161065066093017,0.2125984251968504,0.48648648648648657,0.2222222222222222,0.1358695652173913,0.2619047619047619,0.6285714285714286,0.7231803996642251,0.42864044050273414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psychic,,45,30,50,65,50,45,False,3.8066624897703196,6.708203932499369,-0.9433223109469764,-1.523928292635644,-0.7660280737082308,-0.23148945923836856,-0.7788100166803454,-0.8135936865574627,-0.9299415214336682,-0.9933035688567312,0.1732283464566929,0.13513513513513514,0.19999999999999998,0.29891304347826086,0.14285714285714285,0.22857142857142854,0.6869665120144518,0.3813421690471292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Steel,Psychic,57,24,86,24,86,23,False,4.04305126783455,7.54983443527075,-0.4744947835541146,-1.709081420781706,0.3801938502632567,-1.482723481681127,0.5180043823093002,-1.5742378740116,-0.32300666308467463,-0.4260342292650728,0.2204724409448819,0.10270270270270271,0.36000000000000004,0.07608695652173914,0.31428571428571433,0.10285714285714286,0.729626236847567,0.4375681212482683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Normal,Flying,40,60,30,31,31,70,False,3.6888794541139363,6.324555320336759,-1.1386671140273354,-0.5981626519053346,-1.4028180314701681,-1.2690981607762657,-1.463239838369325,0.05077470827678435,-1.2323527892079675,-1.2518874654005303,0.15354330708661418,0.2972972972972973,0.1111111111111111,0.1141304347826087,0.052380952380952375,0.37142857142857144,0.6657108841785778,0.3557121467767175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Poison,,73,100,60,100,60,65,False,4.290459441148391,8.54400374531753,0.15060858630303448,0.636191535735078,-0.44763309482726205,0.8366371452859375,-0.41858379473877716,-0.12209897069006506,0.3122208035246669,0.24404814785348303,0.28346456692913385,0.5135135135135136,0.24444444444444444,0.48913043478260865,0.19047619047619052,0.34285714285714286,0.774274568640053,0.5039845782593493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Poison,Bug,40,50,90,30,55,65,False,3.6888794541139363,6.324555320336759,-1.1386671140273354,-0.9067511988154378,0.5075518418156442,-1.2996160637626746,-0.5986969057095612,-0.12209897069006506,-1.2323527892079675,-1.2518874654005303,0.15354330708661418,0.24324324324324326,0.3777777777777778,0.10869565217391305,0.16666666666666669,0.34285714285714286,0.6657108841785778,0.3557121467767175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grass,Fighting,60,130,80,60,60,70,False,4.0943445622221,7.745966692414834,-0.35728790170589914,1.5619571764653875,0.18915686293467543,-0.38407897417041226,-0.41858379473877716,0.05077470827678435,-0.1913096822960943,-0.29383866884231985,0.23228346456692914,0.6756756756756757,0.33333333333333337,0.2717391304347826,0.19047619047619052,0.37142857142857144,0.7388828430294488,0.4506709292845407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,,103,60,86,60,86,50,False,4.634728988229636,10.14889156509222,1.322677404785189,-0.5981626519053346,0.3801938502632567,-0.38407897417041226,0.5180043823093002,-0.6407200075906133,1.1961425806187245,1.3257623331692987,0.4015748031496063,0.2972972972972973,0.36000000000000004,0.2717391304347826,0.31428571428571433,0.2571428571428571,0.8364029161325746,0.6112006850255673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fire,,38,41,40,50,65,65,False,3.6375861597263857,6.164414002968976,-1.216805035259479,-1.1844808910345306,-1.0844230525891996,-0.6892580040344997,-0.23847068376799305,-0.12209897069006506,-1.364049769996549,-1.359824688499533,0.1456692913385827,0.1945945945945946,0.15555555555555556,0.21739130434782608,0.2142857142857143,0.34285714285714286,0.6564542779966959,0.3450137488145487,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dragon,Psychic,80,80,90,110,130,110,True,4.382026634673881,8.94427190999916,0.4240913106155372,0.019014441914871723,0.5075518418156442,1.1418161751500249,2.1029997588522007,1.4337641400115797,0.5473221568414796,0.5138338277817105,0.3110236220472441,0.40540540540540543,0.3777777777777778,0.5434782608695652,0.5238095238095238,0.6,0.7907991740444459,0.530724886055846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ice,Flying,90,85,100,95,125,85,True,4.499809670330265,9.486832980505138,0.8147809167762554,0.1733087153699233,0.8259468206966128,0.6840476303538937,1.9228866478814164,0.5693957451773326,0.84973342461578,0.8795266812852323,0.35039370078740156,0.43243243243243246,0.4222222222222222,0.4619565217391304,0.5000000000000001,0.45714285714285713,0.81205480188032,0.5669712111545867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ice,,80,120,80,120,80,100,False,4.382026634673881,8.94427190999916,0.4240913106155372,1.2533686295552844,0.18915686293467543,1.4469952050141122,0.30186864914435935,1.0880167820778808,0.5473221568414796,0.5138338277817105,0.3110236220472441,0.6216216216216217,0.33333333333333337,0.5978260869565217,0.28571428571428575,0.5428571428571428,0.7907991740444459,0.530724886055846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,Flying,52,65,55,58,62,60,False,3.9512437185814275,7.211102550927978,-0.6698395866344736,-0.443868378450283,-0.6068305842677464,-0.44511478014322975,-0.34653855035046355,-0.29497264965691444,-0.5587251365147964,-0.6543436972525443,0.20078740157480315,0.32432432432432434,0.2222222222222222,0.2608695652173913,0.2,0.3142857142857143,0.7130582558257407,0.41493880508714537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Normal,,160,110,65,65,110,30,False,5.075173815233827,12.649110640673518,3.5496081599012825,0.9447800826451812,-0.28843560538677765,-0.23148945923836856,1.3825473149690641,-1.3322147234580108,2.3269971028909278,3.0109408279709955,0.6259842519685039,0.5675675675675675,0.26666666666666666,0.29891304347826086,0.4285714285714286,0.14285714285714285,0.9158874639103141,0.7782302755324559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dragon,Ice,125,130,90,130,90,95,True,4.8283137373023015,11.180339887498949,2.182194538338769,1.5619571764653875,0.5075518418156442,1.7521742348781997,0.6620948710859276,0.9151431031110314,1.693176886642418,2.020971224420152,0.4881889763779528,0.6756756756756757,0.3777777777777778,0.6521739130434783,0.33333333333333337,0.5142857142857142,0.8713380437429202,0.6801076030645626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground,Rock,115,140,130,55,55,40,False,4.74493212836325,10.723805294763608,1.7915049321780507,1.8705457233754907,1.7811317573395191,-0.536668489102456,-0.5986969057095612,-0.9864673655243121,1.4790922527407888,1.7132612779900471,0.44881889763779526,0.7297297297297298,0.5555555555555555,0.24456521739130435,0.16666666666666669,0.19999999999999998,0.8562906437664465,0.6496083612894858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,Flying,35,85,45,35,35,75,False,3.5553480614894135,5.916079783099616,-1.3340119171076945,0.1733087153699233,-0.9252255631487152,-1.1470265488306308,-1.3191493495926978,0.22364838724363376,-1.5751984079017929,-1.5272050156614254,0.13385826771653545,0.43243243243243246,0.17777777777777778,0.1358695652173913,0.07142857142857144,0.39999999999999997,0.6416132408276866,0.328423537397182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
