,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
152,Rock,Water,60,115,105,137,70,80,False
153,Rock,Flying,80,105,65,132,75,130,False
154,Rock,Flying,80,135,85,142,95,150,False
155,Normal,,160,110,65,137,110,30,False
156,Ice,Flying,90,85,100,167,125,85,True
157,Electric,Flying,90,90,85,197,90,100,True
158,Fire,Flying,90,100,90,197,85,90,True
159,Dragon,,41,64,45,122,50,50,False
160,Dragon,,61,84,65,142,70,70,False
161,Dragon,Flying,91,134,95,172,100,80,False
162,Psychic,,106,110,90,226,90,130,True
163,Psychic,Fighting,106,190,100,226,100,130,True
164,Psychic,,106,150,70,266,120,140,True
165,Psychic,,100,100,100,172,100,100,False
166,Grass,,45,49,65,121,65,45,False
167,Grass,,60,62,80,135,80,60,False
168,Grass,,80,82,100,155,100,80,False
169,Fire,,39,52,43,132,50,65,False
170,Fire,,58,64,58,152,65,80,False
171,Fire,,78,84,78,181,85,100,False
172,Water,,50,65,64,116,48,43,False
173,Water,,65,80,80,131,63,58,False
174,Water,,85,105,100,151,83,78,False
175,Normal,,35,46,34,107,45,20,False
176,Normal,,85,76,64,117,55,90,False
177,Normal,Flying,60,30,30,108,56,50,False
178,Normal,Flying,100,50,50,148,96,70,False
179,Bug,Flying,40,20,30,112,80,55,False
180,Bug,Flying,55,35,50,127,110,85,False
181,Bug,Poison,40,60,40,112,40,30,False
182,Bug,Poison,70,90,70,132,60,40,False
183,Poison,Flying,85,90,80,142,80,130,False
184,Water,Electric,75,38,38,128,56,67,False
185,Water,Electric,125,58,58,148,76,67,False
186,Electric,,20,40,15,107,35,60,False
187,Fairy,,50,25,28,117,55,15,False
188,Normal,Fairy,90,30,15,112,20,15,False
189,Fairy,,35,20,65,112,65,20,False
190,Fairy,Flying,55,40,85,152,105,40,False
191,Psychic,Flying,40,50,45,142,45,70,False
192,Psychic,Flying,65,75,70,167,70,95,False
193,Electric,,55,40,40,137,45,35,False
194,Electric,,70,55,55,152,60,45,False
195,Electric,,90,75,85,187,90,55,False
196,Electric,Dragon,90,95,105,237,110,45,False
197,Grass,,75,80,95,162,100,50,False
198,Water,Fairy,70,20,50,92,50,40,False
199,Water,Fairy,100,50,80,132,80,50,False
200,Rock,,70,100,115,102,65,30,False
201,Water,,90,75,75,162,100,70,False
202,Grass,Flying,35,35,40,107,55,50,False
203,Grass,Flying,55,45,50,117,65,80,False
204,Grass,Flying,75,55,70,127,95,110,False
205,Normal,,55,70,55,112,55,85,False
206,Grass,,30,30,30,102,30,30,False
207,Grass,,75,75,55,177,85,30,False
208,Bug,Flying,65,65,45,147,45,95,False
209,Water,Ground,55,45,45,97,25,15,False
210,Water,Ground,95,85,85,137,65,35,False
211,Psychic,,65,65,60,202,95,110,False
212,Dark,,95,65,110,132,130,65,False
213,Dark,Flying,60,85,42,157,42,91,False
214,Water,Psychic,95,75,80,172,110,30,False
215,Ghost,,60,60,60,157,85,85,False
216,Psychic,,48,72,48,144,48,48,False
217,Psychic,,190,33,58,105,58,33,False
218,Normal,Psychic,70,80,65,162,65,85,False
219,Bug,,50,65,90,107,35,15,False
220,Bug,Steel,75,90,140,132,60,40,False
221,Normal,,100,70,70,137,65,45,False
222,Ground,Flying,65,75,105,107,65,85,False
223,Steel,Ground,75,85,200,127,65,30,False
224,Steel,Ground,75,125,230,127,95,30,False
225,Fairy,,60,80,50,112,40,30,False
226,Fairy,,90,120,75,132,60,45,False
227,Water,Poison,65,95,75,127,55,85,False
228,Bug,Steel,70,130,100,127,80,65,False
229,Bug,Steel,70,150,140,137,100,75,False
230,Bug,Rock,20,10,230,82,230,5,False
231,Bug,Fighting,80,125,75,112,95,85,False
232,Bug,Fighting,80,185,115,112,105,75,False
233,Dark,Ice,55,95,55,107,75,115,False
234,Normal,,60,80,50,122,50,40,False
235,Normal,,90,130,75,147,75,55,False
236,Fire,,40,40,40,142,40,20,False
237,Fire,Rock,50,50,120,152,80,30,False
238,Ice,Ground,50,50,40,102,30,50,False
239,Ice,Ground,100,100,80,132,60,50,False
240,Water,Rock,55,55,85,137,85,35,False
241,Water,,35,65,35,137,35,65,False
242,Water,,75,105,75,177,75,45,False
243,Ice,Flying,45,55,45,137,45,75,False
244,Water,Flying,65,40,70,152,140,70,False
245,Steel,Flying,65,80,140,112,70,70,False
246,Dark,Fire,45,60,30,152,50,65,False
247,Dark,Fire,75,90,50,182,80,95,False
248,Dark,Fire,75,90,90,212,90,115,False
249,Water,Dragon,75,95,95,167,95,85,False
250,Ground,,90,60,60,112,40,40,False
251,Ground,,90,120,120,132,60,50,False
252,Normal,,85,80,90,177,95,60,False
253,Normal,,73,95,62,157,65,85,False
254,Normal,,55,20,35,92,45,75,False
255,Fighting,,35,35,35,107,35,35,False
256,Fighting,,50,95,95,107,110,70,False
257,Ice,Psychic,45,30,15,157,65,65,False
258,Electric,,45,63,37,137,55,95,False
259,Fire,,45,75,37,142,55,83,False
260,Normal,,95,80,105,112,70,100,False
261,Normal,,255,10,10,147,135,55,False
262,Electric,,90,85,75,187,100,115,True
263,Fire,,115,115,85,162,75,100,True
264,Water,,100,75,115,162,115,85,True
265,Rock,Ground,50,64,50,117,50,41,False
266,Rock,Ground,70,84,70,137,70,51,False
267,Rock,Dark,100,134,110,167,100,61,False
268,Rock,Dark,100,164,150,167,120,71,False
269,Psychic,Flying,106,90,130,162,154,110,True
270,Fire,Flying,106,130,90,182,154,90,True
271,Psychic,Grass,100,100,100,172,100,100,False
272,Grass,,40,45,35,137,55,70,False
273,Grass,,50,65,45,157,65,95,False
274,Grass,,70,85,65,177,85,120,False
275,Grass,Dragon,70,110,75,217,85,145,False
276,Fire,,45,60,40,142,50,45,False
277,Fire,Fighting,60,85,60,157,60,55,False
278,Fire,Fighting,80,120,70,182,70,80,False
279,Fire,Fighting,80,160,80,202,80,100,False
280,Water,,50,70,50,122,50,40,False
281,Water,Ground,70,85,70,132,70,50,False
282,Water,Ground,100,110,90,157,90,60,False
283,Water,Ground,100,150,110,167,110,70,False
284,Dark,,35,55,35,102,30,35,False
285,Dark,,70,90,70,132,60,70,False
286,Normal,,38,30,41,102,41,60,False
287,Normal,,78,70,61,122,61,100,False
288,Bug,,45,45,35,92,30,20,False
289,Bug,,50,35,55,97,25,15,False
290,Bug,Flying,60,70,50,172,50,65,False
291,Bug,,50,35,55,97,25,15,False
292,Bug,Poison,60,50,70,122,90,65,False
293,Water,Grass,40,30,30,112,50,30,False
294,Water,Grass,60,50,50,132,70,50,False
295,Water,Grass,80,70,70,162,100,70,False
296,Grass,,40,40,50,102,30,30,False
297,Grass,Dark,70,70,40,132,40,60,False
298,Grass,Dark,90,100,60,162,60,80,False
299,Normal,Flying,40,55,30,102,30,85,False
300,Normal,Flying,60,85,60,122,50,125,False
301,Water,Flying,40,30,30,127,30,85,False
302,Water,Flying,60,50,100,157,70,65,False
303,Psychic,Fairy,28,25,25,117,35,40,False
304,Psychic,Fairy,38,35,35,137,55,50,False
305,Psychic,Fairy,68,65,65,197,115,80,False
306,Psychic,Fairy,68,85,65,237,135,100,False
307,Bug,Water,40,30,32,122,52,65,False
308,Bug,Flying,70,60,62,152,82,60,False
309,Grass,,60,40,60,112,60,35,False
310,Grass,Fighting,60,130,80,132,60,70,False
311,Normal,,60,60,60,107,35,30,False
312,Normal,,80,80,80,127,55,90,False
313,Normal,,150,160,100,167,65,100,False
314,Bug,Ground,31,45,90,102,30,40,False
315,Bug,Flying,61,90,45,122,50,160,False
316,Bug,Ghost,1,90,45,102,30,40,False
317,Normal,,64,51,23,123,23,28,False
318,Normal,,84,71,43,143,43,48,False
319,Normal,,104,91,63,163,73,68,False
320,Fighting,,72,60,30,92,30,25,False
321,Fighting,,144,120,60,112,60,50,False
322,Normal,Fairy,50,20,40,92,40,20,False
323,Rock,,30,45,135,117,90,30,False
324,Normal,,50,45,45,107,35,50,False
325,Normal,,70,65,65,127,55,70,False
326,Dark,Ghost,50,75,75,137,65,50,False
327,Dark,Ghost,50,85,125,157,115,20,False
328,Steel,Fairy,50,85,85,127,55,50,False
329,Steel,Fairy,50,105,125,127,95,50,False
330,Steel,Rock,50,70,100,112,40,30,False
331,Steel,Rock,60,90,140,122,50,40,False
332,Steel,Rock,70,110,180,132,60,50,False
333,Steel,,70,140,230,132,80,50,False
334,Fighting,Psychic,30,40,55,112,55,60,False
335,Fighting,Psychic,60,60,75,132,75,80,False
336,Fighting,Psychic,60,100,85,152,85,100,False
337,Electric,,40,45,40,137,40,65,False
338,Electric,,70,75,60,177,60,105,False
339,Electric,,70,75,80,207,80,135,False
340,Electric,,60,50,40,157,75,95,False
341,Electric,,60,40,50,147,85,95,False
342,Bug,,65,73,55,119,75,85,False
343,Bug,,65,47,55,145,75,85,False
344,Grass,Poison,50,60,45,172,80,65,False
345,Poison,,70,43,53,115,53,40,False
346,Poison,,100,73,83,145,83,55,False
347,Water,Dark,45,90,20,137,20,65,False
348,Water,Dark,70,120,40,167,40,95,False
349,Water,Dark,70,140,70,182,65,105,False
350,Water,,130,70,35,142,35,60,False
351,Water,,170,90,45,162,45,60,False
352,Fire,Ground,60,60,40,137,45,35,False
353,Fire,Ground,70,100,70,177,75,40,False
354,Fire,Ground,70,120,100,217,105,20,False
355,Fire,,70,85,140,157,70,20,False
356,Psychic,,60,25,35,142,80,60,False
357,Psychic,,80,45,65,162,110,80,False
358,Normal,,60,60,60,132,60,60,False
359,Ground,,45,100,45,117,45,10,False
360,Ground,Dragon,50,70,50,122,50,70,False
361,Ground,Dragon,80,100,80,152,80,100,False
362,Grass,,50,85,40,157,40,35,False
363,Grass,Dark,70,115,60,187,60,55,False
364,Normal,Flying,45,40,60,112,75,50,False
365,Dragon,Flying,75,70,90,142,105,80,False
366,Dragon,Fairy,75,110,110,182,105,80,False
367,Normal,,73,115,60,132,60,90,False
368,Poison,,73,100,60,172,60,65,False
369,Rock,Psychic,70,55,65,167,85,70,False
370,Rock,Psychic,70,95,85,127,65,70,False
371,Water,Ground,50,48,43,118,41,60,False
372,Water,Ground,110,78,73,148,71,60,False
373,Water,,43,80,65,122,35,35,False
374,Water,Dark,63,120,85,162,55,55,False
375,Ground,Psychic,40,40,55,112,70,55,False
376,Ground,Psychic,60,70,105,142,120,75,False
377,Rock,Grass,66,41,77,133,87,23,False
378,Rock,Grass,86,81,97,153,107,43,False
379,Rock,Bug,45,95,50,112,50,75,False
380,Rock,Bug,75,125,100,142,80,45,False
381,Water,,20,15,20,82,55,80,False
382,Water,,95,60,79,172,125,81,False
383,Normal,,70,70,70,142,70,70,False
384,Normal,,60,90,70,132,120,40,False
385,Ghost,,44,75,35,135,33,45,False
386,Ghost,,64,115,65,155,63,65,False
387,Ghost,,64,165,75,165,83,75,False
388,Ghost,,20,40,90,102,90,25,False
389,Ghost,,40,70,130,132,130,25,False
390,Grass,Flying,99,68,83,144,87,51,False
391,Psychic,,65,50,70,167,80,65,False
392,Dark,,65,130,60,147,60,75,False
393,Dark,,65,150,60,187,60,115,False
394,Psychic,,95,23,48,95,48,23,False
395,Ice,,50,50,50,122,50,50,False
396,Ice,,80,80,80,152,80,80,False
397,Ice,,80,120,80,192,80,100,False
398,Ice,Water,70,40,50,127,50,25,False
399,Ice,Water,90,60,70,147,70,45,False
400,Ice,Water,110,80,90,167,90,65,False
401,Water,,35,64,85,146,55,32,False
402,Water,,55,104,105,166,75,52,False
403,Water,,55,84,105,186,75,52,False
404,Water,Rock,100,90,130,117,65,55,False
405,Water,,43,30,55,112,65,97,False
406,Dragon,,45,75,60,112,30,50,False
407,Dragon,,65,95,100,132,50,50,False
408,Dragon,Flying,95,135,80,182,80,100,False
409,Dragon,Flying,95,145,130,192,90,120,False
410,Steel,Psychic,40,55,80,107,60,30,False
411,Steel,Psychic,60,75,100,127,80,50,False
412,Steel,Psychic,80,135,130,167,90,70,False
413,Steel,Psychic,80,145,150,177,110,110,False
414,Rock,,80,100,200,122,100,50,True
415,Ice,,80,50,100,172,200,50,True
416,Steel,,80,75,150,147,150,50,True
417,Dragon,Psychic,80,80,90,182,130,110,True
418,Dragon,Psychic,80,100,120,212,150,110,True
419,Dragon,Psychic,80,90,80,202,110,110,True
420,Dragon,Psychic,80,130,100,232,120,110,True
421,Water,,100,100,90,222,140,90,True
422,Water,,100,150,90,252,160,90,True
423,Ground,,100,150,140,172,90,90,True
424,Ground,Fire,100,180,160,222,90,90,True
425,Dragon,Flying,105,150,90,222,90,95,True
426,Dragon,Flying,105,180,100,252,100,115,True
427,Steel,Psychic,100,100,100,172,100,100,True
428,Psychic,,50,150,50,222,50,150,True
429,Psychic,,50,180,20,252,20,150,True
430,Psychic,,50,70,160,142,160,90,True
431,Psychic,,50,95,90,167,90,180,True
432,Grass,,55,68,64,117,55,31,False
433,Grass,,75,89,85,127,65,36,False
434,Grass,Ground,95,109,105,147,85,56,False
435,Fire,,44,58,44,130,44,61,False
436,Fire,Fighting,64,78,52,150,52,81,False
437,Fire,Fighting,76,104,71,176,71,108,False
438,Water,,53,51,53,133,56,40,False
439,Water,,64,66,68,153,76,50,False
440,Water,Steel,84,86,88,183,101,60,False
441,Normal,Flying,40,55,30,102,30,60,False
442,Normal,Flying,55,75,50,112,40,80,False
443,Normal,Flying,85,120,70,122,60,100,False
444,Normal,,59,45,40,107,40,31,False
445,Normal,Water,79,85,60,127,60,71,False
446,Bug,,37,25,41,97,41,25,False
447,Bug,,77,85,51,127,51,65,False
448,Electric,,45,65,34,112,34,45,False
449,Electric,,60,85,49,132,49,60,False
450,Electric,,80,120,79,167,79,70,False
451,Grass,Poison,40,30,35,122,70,55,False
452,Grass,Poison,60,70,65,197,105,90,False
453,Rock,,67,125,40,102,30,58,False
454,Rock,,97,165,60,137,50,58,False
455,Rock,Steel,30,42,118,114,88,30,False
456,Rock,Steel,60,52,168,119,138,30,False
457,Bug,,40,29,45,101,45,36,False
458,Bug,Grass,60,59,85,151,105,36,False
459,Bug,Ground,60,79,105,131,85,36,False
460,Bug,Steel,60,69,95,141,95,36,False
461,Bug,Flying,70,94,50,166,50,66,False
462,Bug,Flying,30,30,42,102,42,70,False
463,Bug,Flying,70,80,102,152,102,40,False
464,Electric,,60,45,70,117,90,95,False
465,Water,,55,65,35,132,30,85,False
466,Water,,85,105,55,157,50,115,False
467,Grass,,45,35,45,134,53,35,False
468,Grass,,70,60,70,159,78,85,False
469,Water,,76,48,48,129,62,34,False
470,Water,Ground,111,83,68,164,82,39,False
471,Normal,,75,100,66,132,66,115,False
472,Ghost,Flying,90,50,34,132,44,70,False
473,Ghost,Flying,150,80,44,162,54,80,False
474,Normal,,55,66,44,116,56,85,False
475,Normal,,65,76,84,126,96,105,False
476,Normal,Fighting,65,136,94,126,96,135,False
477,Ghost,,60,60,60,177,105,105,False
478,Dark,Flying,100,125,52,177,52,71,False
479,Normal,,49,55,42,114,37,85,False
480,Normal,,71,82,64,136,59,112,False
481,Psychic,,45,30,50,137,50,45,False
482,Poison,Dark,63,63,47,113,41,74,False
483,Poison,Dark,103,93,67,143,61,84,False
484,Steel,Psychic,57,24,86,96,86,23,False
485,Steel,Psychic,67,89,116,151,116,33,False
486,Rock,,50,80,95,82,45,10,False
487,Psychic,Fairy,20,25,45,142,90,60,False
488,Normal,,100,5,5,87,65,30,False
489,Normal,Flying,76,65,45,164,42,91,False
490,Ghost,Dark,50,92,108,164,108,35,False
491,Dragon,Ground,58,70,45,112,45,42,False
492,Dragon,Ground,68,90,65,122,55,82,False
493,Dragon,Ground,108,130,95,152,85,102,False
494,Dragon,Ground,108,170,115,192,95,92,False
495,Normal,,135,85,40,112,85,5,False
496,Fighting,,40,70,40,107,40,60,False
497,Fighting,Steel,70,110,70,187,70,90,False
498,Fighting,Steel,70,145,88,212,70,112,False
499,Ground,,68,72,78,110,42,32,False
500,Ground,,108,112,118,140,72,47,False
501,Poison,Bug,40,50,90,102,55,65,False
502,Poison,Dark,70,90,110,132,75,95,False
503,Poison,Fighting,48,61,40,133,40,50,False
504,Poison,Fighting,83,106,65,158,65,85,False
505,Grass,,74,100,72,162,72,46,False
506,Water,,49,49,56,121,61,66,False
507,Water,,69,69,76,141,86,91,False
508,Water,Flying,45,20,50,132,120,50,False
509,Grass,Ice,60,62,50,134,60,40,False
510,Grass,Ice,90,92,75,164,85,60,False
511,Grass,Ice,90,132,105,204,105,30,False
512,Dark,Ice,70,120,65,117,85,125,False
513,Electric,Steel,70,70,115,202,90,60,False
514,Normal,,110,85,95,152,95,50,False
515,Ground,Rock,115,140,130,127,55,40,False
516,Grass,,100,100,125,182,50,50,False
517,Electric,,75,123,67,167,85,95,False
518,Fire,,75,95,67,197,95,83,False
519,Fairy,Flying,85,50,95,192,115,80,False
520,Bug,Flying,86,76,86,188,56,95,False
521,Grass,,65,110,130,132,65,95,False
522,Ice,,65,60,110,202,95,65,False
523,Ground,Flying,75,95,125,117,75,95,False
524,Ice,Ground,110,130,80,142,60,80,False
525,Normal,,85,80,70,207,75,90,False
526,Psychic,Fighting,68,125,65,137,115,80,False
527,Psychic,Fighting,68,165,95,137,115,110,False
528,Rock,Steel,60,55,145,147,150,40,False
529,Ghost,,45,100,135,137,135,45,False
530,Ice,Ghost,70,80,70,152,70,110,False
531,Electric,Ghost,50,50,77,167,77,91,False
532,Electric,Fire,50,65,107,177,107,86,False
533,Electric,Water,50,65,107,177,107,86,False
534,Electric,Ice,50,65,107,177,107,86,False
535,Electric,Flying,50,65,107,177,107,86,False
536,Electric,Grass,50,65,107,177,107,86,False
537,Psychic,,75,75,130,147,130,95,True
538,Psychic,,80,105,105,177,105,80,True
539,Psychic,,75,125,70,197,70,115,True
540,Steel,Dragon,100,120,120,222,100,90,True
541,Water,Dragon,90,120,100,222,120,100,True
542,Fire,Steel,91,90,106,202,106,77,True
543,Normal,,110,160,110,152,110,100,True
544,Ghost,Dragon,150,100,120,172,120,90,True
545,Ghost,Dragon,150,120,100,192,100,90,True
546,Psychic,,120,70,120,147,130,85,False
547,Water,,80,80,80,152,80,80,False
548,Water,,100,100,100,172,100,100,False
549,Dark,,70,90,90,207,90,125,True
550,Grass,,100,100,100,172,100,100,True
551,Grass,Flying,100,103,75,192,75,127,True
552,Normal,,120,120,120,192,120,120,True
553,Psychic,Fire,100,100,100,172,100,100,True
554,Grass,,45,45,55,117,55,63,False
555,Grass,,60,60,75,132,75,83,False
556,Grass,,75,75,95,147,95,113,False
557,Fire,,65,63,45,117,45,45,False
558,Fire,Fighting,90,93,55,142,55,55,False
559,Fire,Fighting,110,123,65,172,65,65,False
560,Water,,55,55,45,135,45,45,False
561,Water,,75,75,60,155,60,60,False
562,Water,,95,100,85,180,70,70,False
563,Normal,,45,55,39,107,39,42,False
564,Normal,,60,85,69,132,69,77,False
565,Normal,,45,60,45,97,45,55,False
566,Normal,,65,80,65,107,65,60,False
567,Normal,,85,110,90,117,90,80,False
568,Dark,,41,50,37,122,37,66,False
569,Dark,,64,88,50,160,50,106,False
570,Grass,,50,53,48,125,48,64,False
571,Grass,,75,98,63,170,63,101,False
572,Fire,,50,53,48,125,48,64,False
573,Fire,,75,98,63,170,63,101,False
574,Water,,50,53,48,125,48,64,False
575,Water,,75,98,63,170,63,101,False
576,Psychic,,76,25,45,139,55,24,False
577,Psychic,,116,55,85,179,95,29,False
578,Normal,Flying,50,55,50,108,30,43,False
579,Normal,Flying,62,77,62,122,42,65,False
580,Normal,Flying,80,115,80,137,55,93,False
581,Electric,,45,60,32,122,32,76,False
582,Electric,,75,100,63,152,63,116,False
583,Rock,,55,75,85,97,25,15,False
584,Rock,,70,105,105,122,40,20,False
585,Rock,,85,135,130,132,80,25,False
586,Psychic,Flying,55,45,43,127,43,72,False
587,Psychic,Flying,67,57,55,149,55,114,False
588,Ground,,60,85,40,102,45,68,False
589,Ground,Steel,110,135,60,122,65,88,False
590,Normal,,103,60,86,132,86,50,False
591,Normal,Fairy,103,60,126,152,126,50,False
592,Fighting,,75,80,55,97,35,35,False
593,Fighting,,85,105,85,112,50,40,False
594,Fighting,,105,140,95,127,65,45,False
595,Water,,50,50,40,122,40,64,False
596,Water,Ground,75,65,55,137,55,69,False
597,Water,Ground,105,95,75,157,75,74,False
598,Fighting,,120,100,85,102,85,45,False
599,Fighting,,75,125,75,102,75,85,False
600,Bug,Grass,45,53,70,112,60,42,False
601,Bug,Grass,55,63,90,122,80,42,False
602,Bug,Grass,75,103,80,142,80,92,False
603,Bug,Poison,30,45,59,102,39,57,False
604,Bug,Poison,40,55,99,112,79,47,False
605,Bug,Poison,60,100,89,127,69,112,False
606,Grass,Fairy,40,27,60,109,50,66,False
607,Grass,Fairy,60,67,85,149,75,116,False
608,Grass,,45,35,50,142,50,30,False
609,Grass,,70,60,75,182,75,90,False
610,Water,,70,92,65,152,55,98,False
611,Ground,Dark,50,72,35,107,35,65,False
612,Ground,Dark,60,82,45,117,45,74,False
613,Ground,Dark,95,117,80,137,70,92,False
