,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
95,Poison,,80,80,50,40,121,25,False
96,Poison,,105,105,75,65,171,50,False
97,Water,,30,65,100,45,96,40,False
98,Water,Ice,50,95,180,85,116,70,False
99,Ghost,Poison,30,35,30,100,106,80,False
100,Ghost,Poison,45,50,45,115,126,95,False
101,Ghost,Poison,60,65,60,130,146,110,False
102,Ghost,Poison,60,65,80,170,166,130,False
103,Rock,Ground,35,45,160,30,116,70,False
104,Psychic,,60,48,45,43,161,42,False
105,Psychic,,85,73,70,73,186,67,False
106,Water,,30,105,90,25,96,50,False
107,Water,,55,130,115,50,121,75,False
108,Electric,,40,30,50,55,126,100,False
109,Electric,,60,50,70,80,151,140,False
110,Grass,Psychic,60,40,80,60,116,40,False
111,Grass,Psychic,95,95,85,125,136,55,False
112,Ground,,50,50,95,40,121,35,False
113,Ground,,60,80,110,50,151,45,False
114,Fighting,,50,120,53,35,181,87,False
115,Fighting,,50,105,79,35,181,76,False
116,Normal,,90,55,75,60,146,30,False
117,Poison,,40,65,95,60,116,35,False
118,Poison,,65,90,120,85,141,60,False
119,Ground,Rock,80,85,95,30,101,25,False
120,Ground,Rock,105,130,120,45,116,40,False
121,Normal,,250,5,5,35,176,50,False
122,Grass,,65,55,115,100,111,60,False
123,Normal,,105,95,80,40,151,90,False
124,Normal,,105,125,100,60,171,100,False
125,Water,,30,40,70,70,96,60,False
126,Water,,55,65,95,95,116,85,False
127,Water,,45,67,60,35,121,63,False
128,Water,,80,92,65,65,151,68,False
129,Water,,30,45,55,70,126,85,False
130,Water,Psychic,60,75,85,100,156,115,False
131,Psychic,Fairy,40,45,65,100,191,90,False
132,Bug,Flying,70,110,80,55,151,105,False
133,Ice,Psychic,65,50,35,115,166,95,False
134,Electric,,65,83,57,95,156,105,False
135,Fire,,65,95,57,100,156,93,False
136,Bug,,65,125,100,55,141,85,False
137,Bug,Flying,65,155,120,65,161,105,False
138,Normal,,75,100,95,40,141,110,False
139,Water,,20,10,55,15,91,80,False
140,Water,Flying,95,125,79,60,171,81,False
141,Water,Dark,95,155,109,70,201,81,False
142,Water,Ice,130,85,80,85,166,60,False
143,Normal,,48,48,48,48,119,48,False
144,Normal,,55,55,50,45,136,55,False
145,Water,,130,65,60,110,166,65,False
146,Electric,,65,65,60,110,166,130,False
147,Fire,,65,130,60,95,181,65,False
148,Normal,,65,60,70,85,146,40,False
149,Rock,Water,35,40,100,90,126,35,False
150,Rock,Water,70,60,125,115,141,55,False
151,Rock,Water,30,80,90,55,116,55,False
152,Rock,Water,60,115,105,65,141,80,False
153,Rock,Flying,80,105,65,60,146,130,False
154,Rock,Flying,80,135,85,70,166,150,False
155,Normal,,160,110,65,65,181,30,False
156,Ice,Flying,90,85,100,95,196,85,True
157,Electric,Flying,90,90,85,125,161,100,True
158,Fire,Flying,90,100,90,125,156,90,True
159,Dragon,,41,64,45,50,121,50,False
160,Dragon,,61,84,65,70,141,70,False
161,Dragon,Flying,91,134,95,100,171,80,False
162,Psychic,,106,110,90,154,161,130,True
163,Psychic,Fighting,106,190,100,154,171,130,True
164,Psychic,,106,150,70,194,191,140,True
165,Psychic,,100,100,100,100,171,100,False
166,Grass,,45,49,65,49,136,45,False
167,Grass,,60,62,80,63,151,60,False
168,Grass,,80,82,100,83,171,80,False
169,Fire,,39,52,43,60,121,65,False
170,Fire,,58,64,58,80,136,80,False
171,Fire,,78,84,78,109,156,100,False
172,Water,,50,65,64,44,119,43,False
173,Water,,65,80,80,59,134,58,False
174,Water,,85,105,100,79,154,78,False
175,Normal,,35,46,34,35,116,20,False
176,Normal,,85,76,64,45,126,90,False
177,Normal,Flying,60,30,30,36,127,50,False
178,Normal,Flying,100,50,50,76,167,70,False
179,Bug,Flying,40,20,30,40,151,55,False
180,Bug,Flying,55,35,50,55,181,85,False
181,Bug,Poison,40,60,40,40,111,30,False
182,Bug,Poison,70,90,70,60,131,40,False
183,Poison,Flying,85,90,80,70,151,130,False
184,Water,Electric,75,38,38,56,127,67,False
185,Water,Electric,125,58,58,76,147,67,False
186,Electric,,20,40,15,35,106,60,False
187,Fairy,,50,25,28,45,126,15,False
188,Normal,Fairy,90,30,15,40,91,15,False
189,Fairy,,35,20,65,40,136,20,False
190,Fairy,Flying,55,40,85,80,176,40,False
191,Psychic,Flying,40,50,45,70,116,70,False
192,Psychic,Flying,65,75,70,95,141,95,False
193,Electric,,55,40,40,65,116,35,False
194,Electric,,70,55,55,80,131,45,False
195,Electric,,90,75,85,115,161,55,False
196,Electric,Dragon,90,95,105,165,181,45,False
197,Grass,,75,80,95,90,171,50,False
198,Water,Fairy,70,20,50,20,121,40,False
199,Water,Fairy,100,50,80,60,151,50,False
200,Rock,,70,100,115,30,136,30,False
201,Water,,90,75,75,90,171,70,False
202,Grass,Flying,35,35,40,35,126,50,False
203,Grass,Flying,55,45,50,45,136,80,False
204,Grass,Flying,75,55,70,55,166,110,False
205,Normal,,55,70,55,40,126,85,False
206,Grass,,30,30,30,30,101,30,False
207,Grass,,75,75,55,105,156,30,False
208,Bug,Flying,65,65,45,75,116,95,False
209,Water,Ground,55,45,45,25,96,15,False
210,Water,Ground,95,85,85,65,136,35,False
211,Psychic,,65,65,60,130,166,110,False
212,Dark,,95,65,110,60,201,65,False
213,Dark,Flying,60,85,42,85,113,91,False
214,Water,Psychic,95,75,80,100,181,30,False
215,Ghost,,60,60,60,85,156,85,False
216,Psychic,,48,72,48,72,119,48,False
217,Psychic,,190,33,58,33,129,33,False
218,Normal,Psychic,70,80,65,90,136,85,False
219,Bug,,50,65,90,35,106,15,False
220,Bug,Steel,75,90,140,60,131,40,False
221,Normal,,100,70,70,65,136,45,False
222,Ground,Flying,65,75,105,35,136,85,False
223,Steel,Ground,75,85,200,55,136,30,False
224,Steel,Ground,75,125,230,55,166,30,False
225,Fairy,,60,80,50,40,111,30,False
226,Fairy,,90,120,75,60,131,45,False
227,Water,Poison,65,95,75,55,126,85,False
228,Bug,Steel,70,130,100,55,151,65,False
229,Bug,Steel,70,150,140,65,171,75,False
230,Bug,Rock,20,10,230,10,301,5,False
231,Bug,Fighting,80,125,75,40,166,85,False
232,Bug,Fighting,80,185,115,40,176,75,False
233,Dark,Ice,55,95,55,35,146,115,False
234,Normal,,60,80,50,50,121,40,False
235,Normal,,90,130,75,75,146,55,False
236,Fire,,40,40,40,70,111,20,False
237,Fire,Rock,50,50,120,80,151,30,False
238,Ice,Ground,50,50,40,30,101,50,False
239,Ice,Ground,100,100,80,60,131,50,False
240,Water,Rock,55,55,85,65,156,35,False
241,Water,,35,65,35,65,106,65,False
242,Water,,75,105,75,105,146,45,False
243,Ice,Flying,45,55,45,65,116,75,False
244,Water,Flying,65,40,70,80,211,70,False
245,Steel,Flying,65,80,140,40,141,70,False
246,Dark,Fire,45,60,30,80,121,65,False
247,Dark,Fire,75,90,50,110,151,95,False
248,Dark,Fire,75,90,90,140,161,115,False
249,Water,Dragon,75,95,95,95,166,85,False
250,Ground,,90,60,60,40,111,40,False
251,Ground,,90,120,120,60,131,50,False
252,Normal,,85,80,90,105,166,60,False
253,Normal,,73,95,62,85,136,85,False
254,Normal,,55,20,35,20,116,75,False
255,Fighting,,35,35,35,35,106,35,False
256,Fighting,,50,95,95,35,181,70,False
257,Ice,Psychic,45,30,15,85,136,65,False
258,Electric,,45,63,37,65,126,95,False
259,Fire,,45,75,37,70,126,83,False
260,Normal,,95,80,105,40,141,100,False
261,Normal,,255,10,10,75,206,55,False
262,Electric,,90,85,75,115,171,115,True
263,Fire,,115,115,85,90,146,100,True
264,Water,,100,75,115,90,186,85,True
265,Rock,Ground,50,64,50,45,121,41,False
266,Rock,Ground,70,84,70,65,141,51,False
267,Rock,Dark,100,134,110,95,171,61,False
268,Rock,Dark,100,164,150,95,191,71,False
269,Psychic,Flying,106,90,130,90,225,110,True
270,Fire,Flying,106,130,90,110,225,90,True
271,Psychic,Grass,100,100,100,100,171,100,False
272,Grass,,40,45,35,65,126,70,False
273,Grass,,50,65,45,85,136,95,False
274,Grass,,70,85,65,105,156,120,False
275,Grass,Dragon,70,110,75,145,156,145,False
276,Fire,,45,60,40,70,121,45,False
277,Fire,Fighting,60,85,60,85,131,55,False
278,Fire,Fighting,80,120,70,110,141,80,False
279,Fire,Fighting,80,160,80,130,151,100,False
280,Water,,50,70,50,50,121,40,False
281,Water,Ground,70,85,70,60,141,50,False
282,Water,Ground,100,110,90,85,161,60,False
283,Water,Ground,100,150,110,95,181,70,False
284,Dark,,35,55,35,30,101,35,False
285,Dark,,70,90,70,60,131,70,False
286,Normal,,38,30,41,30,112,60,False
287,Normal,,78,70,61,50,132,100,False
288,Bug,,45,45,35,20,101,20,False
289,Bug,,50,35,55,25,96,15,False
290,Bug,Flying,60,70,50,100,121,65,False
291,Bug,,50,35,55,25,96,15,False
292,Bug,Poison,60,50,70,50,161,65,False
293,Water,Grass,40,30,30,40,121,30,False
294,Water,Grass,60,50,50,60,141,50,False
295,Water,Grass,80,70,70,90,171,70,False
296,Grass,,40,40,50,30,101,30,False
297,Grass,Dark,70,70,40,60,111,60,False
298,Grass,Dark,90,100,60,90,131,80,False
299,Normal,Flying,40,55,30,30,101,85,False
300,Normal,Flying,60,85,60,50,121,125,False
301,Water,Flying,40,30,30,55,101,85,False
302,Water,Flying,60,50,100,85,141,65,False
303,Psychic,Fairy,28,25,25,45,106,40,False
304,Psychic,Fairy,38,35,35,65,126,50,False
305,Psychic,Fairy,68,65,65,125,186,80,False
306,Psychic,Fairy,68,85,65,165,206,100,False
307,Bug,Water,40,30,32,50,123,65,False
308,Bug,Flying,70,60,62,80,153,60,False
309,Grass,,60,40,60,40,131,35,False
310,Grass,Fighting,60,130,80,60,131,70,False
311,Normal,,60,60,60,35,106,30,False
312,Normal,,80,80,80,55,126,90,False
313,Normal,,150,160,100,95,136,100,False
314,Bug,Ground,31,45,90,30,101,40,False
315,Bug,Flying,61,90,45,50,121,160,False
316,Bug,Ghost,1,90,45,30,101,40,False
317,Normal,,64,51,23,51,94,28,False
318,Normal,,84,71,43,71,114,48,False
319,Normal,,104,91,63,91,144,68,False
320,Fighting,,72,60,30,20,101,25,False
321,Fighting,,144,120,60,40,131,50,False
322,Normal,Fairy,50,20,40,20,111,20,False
323,Rock,,30,45,135,45,161,30,False
324,Normal,,50,45,45,35,106,50,False
325,Normal,,70,65,65,55,126,70,False
326,Dark,Ghost,50,75,75,65,136,50,False
327,Dark,Ghost,50,85,125,85,186,20,False
328,Steel,Fairy,50,85,85,55,126,50,False
329,Steel,Fairy,50,105,125,55,166,50,False
330,Steel,Rock,50,70,100,40,111,30,False
331,Steel,Rock,60,90,140,50,121,40,False
332,Steel,Rock,70,110,180,60,131,50,False
333,Steel,,70,140,230,60,151,50,False
334,Fighting,Psychic,30,40,55,40,126,60,False
335,Fighting,Psychic,60,60,75,60,146,80,False
336,Fighting,Psychic,60,100,85,80,156,100,False
337,Electric,,40,45,40,65,111,65,False
338,Electric,,70,75,60,105,131,105,False
339,Electric,,70,75,80,135,151,135,False
340,Electric,,60,50,40,85,146,95,False
341,Electric,,60,40,50,75,156,95,False
342,Bug,,65,73,55,47,146,85,False
343,Bug,,65,47,55,73,146,85,False
344,Grass,Poison,50,60,45,100,151,65,False
345,Poison,,70,43,53,43,124,40,False
346,Poison,,100,73,83,73,154,55,False
347,Water,Dark,45,90,20,65,91,65,False
348,Water,Dark,70,120,40,95,111,95,False
349,Water,Dark,70,140,70,110,136,105,False
350,Water,,130,70,35,70,106,60,False
351,Water,,170,90,45,90,116,60,False
352,Fire,Ground,60,60,40,65,116,35,False
353,Fire,Ground,70,100,70,105,146,40,False
354,Fire,Ground,70,120,100,145,176,20,False
355,Fire,,70,85,140,85,141,20,False
356,Psychic,,60,25,35,70,151,60,False
357,Psychic,,80,45,65,90,181,80,False
358,Normal,,60,60,60,60,131,60,False
359,Ground,,45,100,45,45,116,10,False
360,Ground,Dragon,50,70,50,50,121,70,False
361,Ground,Dragon,80,100,80,80,151,100,False
362,Grass,,50,85,40,85,111,35,False
363,Grass,Dark,70,115,60,115,131,55,False
364,Normal,Flying,45,40,60,40,146,50,False
365,Dragon,Flying,75,70,90,70,176,80,False
366,Dragon,Fairy,75,110,110,110,176,80,False
367,Normal,,73,115,60,60,131,90,False
368,Poison,,73,100,60,100,131,65,False
369,Rock,Psychic,70,55,65,95,156,70,False
370,Rock,Psychic,70,95,85,55,136,70,False
371,Water,Ground,50,48,43,46,112,60,False
372,Water,Ground,110,78,73,76,142,60,False
373,Water,,43,80,65,50,106,35,False
374,Water,Dark,63,120,85,90,126,55,False
375,Ground,Psychic,40,40,55,40,141,55,False
376,Ground,Psychic,60,70,105,70,191,75,False
377,Rock,Grass,66,41,77,61,158,23,False
378,Rock,Grass,86,81,97,81,178,43,False
379,Rock,Bug,45,95,50,40,121,75,False
380,Rock,Bug,75,125,100,70,151,45,False
381,Water,,20,15,20,10,126,80,False
382,Water,,95,60,79,100,196,81,False
383,Normal,,70,70,70,70,141,70,False
384,Normal,,60,90,70,60,191,40,False
385,Ghost,,44,75,35,63,104,45,False
386,Ghost,,64,115,65,83,134,65,False
387,Ghost,,64,165,75,93,154,75,False
388,Ghost,,20,40,90,30,161,25,False
389,Ghost,,40,70,130,60,201,25,False
390,Grass,Flying,99,68,83,72,158,51,False
391,Psychic,,65,50,70,95,151,65,False
392,Dark,,65,130,60,75,131,75,False
393,Dark,,65,150,60,115,131,115,False
394,Psychic,,95,23,48,23,119,23,False
395,Ice,,50,50,50,50,121,50,False
396,Ice,,80,80,80,80,151,80,False
397,Ice,,80,120,80,120,151,100,False
398,Ice,Water,70,40,50,55,121,25,False
399,Ice,Water,90,60,70,75,141,45,False
400,Ice,Water,110,80,90,95,161,65,False
401,Water,,35,64,85,74,126,32,False
402,Water,,55,104,105,94,146,52,False
403,Water,,55,84,105,114,146,52,False
404,Water,Rock,100,90,130,45,136,55,False
405,Water,,43,30,55,40,136,97,False
406,Dragon,,45,75,60,40,101,50,False
407,Dragon,,65,95,100,60,121,50,False
408,Dragon,Flying,95,135,80,110,151,100,False
409,Dragon,Flying,95,145,130,120,161,120,False
410,Steel,Psychic,40,55,80,35,131,30,False
411,Steel,Psychic,60,75,100,55,151,50,False
412,Steel,Psychic,80,135,130,95,161,70,False
413,Steel,Psychic,80,145,150,105,181,110,False
414,Rock,,80,100,200,50,171,50,True
415,Ice,,80,50,100,100,271,50,True
416,Steel,,80,75,150,75,221,50,True
417,Dragon,Psychic,80,80,90,110,201,110,True
418,Dragon,Psychic,80,100,120,140,221,110,True
419,Dragon,Psychic,80,90,80,130,181,110,True
420,Dragon,Psychic,80,130,100,160,191,110,True
421,Water,,100,100,90,150,211,90,True
422,Water,,100,150,90,180,231,90,True
423,Ground,,100,150,140,100,161,90,True
424,Ground,Fire,100,180,160,150,161,90,True
425,Dragon,Flying,105,150,90,150,161,95,True
426,Dragon,Flying,105,180,100,180,171,115,True
427,Steel,Psychic,100,100,100,100,171,100,True
428,Psychic,,50,150,50,150,121,150,True
429,Psychic,,50,180,20,180,91,150,True
430,Psychic,,50,70,160,70,231,90,True
431,Psychic,,50,95,90,95,161,180,True
432,Grass,,55,68,64,45,126,31,False
433,Grass,,75,89,85,55,136,36,False
434,Grass,Ground,95,109,105,75,156,56,False
435,Fire,,44,58,44,58,115,61,False
436,Fire,Fighting,64,78,52,78,123,81,False
437,Fire,Fighting,76,104,71,104,142,108,False
438,Water,,53,51,53,61,127,40,False
439,Water,,64,66,68,81,147,50,False
440,Water,Steel,84,86,88,111,172,60,False
441,Normal,Flying,40,55,30,30,101,60,False
442,Normal,Flying,55,75,50,40,111,80,False
443,Normal,Flying,85,120,70,50,131,100,False
444,Normal,,59,45,40,35,111,31,False
445,Normal,Water,79,85,60,55,131,71,False
446,Bug,,37,25,41,25,112,25,False
447,Bug,,77,85,51,55,122,65,False
448,Electric,,45,65,34,40,105,45,False
449,Electric,,60,85,49,60,120,60,False
450,Electric,,80,120,79,95,150,70,False
451,Grass,Poison,40,30,35,50,141,55,False
452,Grass,Poison,60,70,65,125,176,90,False
453,Rock,,67,125,40,30,101,58,False
454,Rock,,97,165,60,65,121,58,False
455,Rock,Steel,30,42,118,42,159,30,False
456,Rock,Steel,60,52,168,47,209,30,False
457,Bug,,40,29,45,29,116,36,False
458,Bug,Grass,60,59,85,79,176,36,False
459,Bug,Ground,60,79,105,59,156,36,False
460,Bug,Steel,60,69,95,69,166,36,False
461,Bug,Flying,70,94,50,94,121,66,False
462,Bug,Flying,30,30,42,30,113,70,False
463,Bug,Flying,70,80,102,80,173,40,False
464,Electric,,60,45,70,45,161,95,False
465,Water,,55,65,35,60,101,85,False
466,Water,,85,105,55,85,121,115,False
467,Grass,,45,35,45,62,124,35,False
468,Grass,,70,60,70,87,149,85,False
469,Water,,76,48,48,57,133,34,False
470,Water,Ground,111,83,68,92,153,39,False
471,Normal,,75,100,66,60,137,115,False
472,Ghost,Flying,90,50,34,60,115,70,False
473,Ghost,Flying,150,80,44,90,125,80,False
474,Normal,,55,66,44,44,127,85,False
475,Normal,,65,76,84,54,167,105,False
476,Normal,Fighting,65,136,94,54,167,135,False
477,Ghost,,60,60,60,105,176,105,False
478,Dark,Flying,100,125,52,105,123,71,False
479,Normal,,49,55,42,42,108,85,False
480,Normal,,71,82,64,64,130,112,False
481,Psychic,,45,30,50,65,121,45,False
482,Poison,Dark,63,63,47,41,112,74,False
483,Poison,Dark,103,93,67,71,132,84,False
484,Steel,Psychic,57,24,86,24,157,23,False
485,Steel,Psychic,67,89,116,79,187,33,False
486,Rock,,50,80,95,10,116,10,False
487,Psychic,Fairy,20,25,45,70,161,60,False
488,Normal,,100,5,5,15,136,30,False
489,Normal,Flying,76,65,45,92,113,91,False
490,Ghost,Dark,50,92,108,92,179,35,False
491,Dragon,Ground,58,70,45,40,116,42,False
492,Dragon,Ground,68,90,65,50,126,82,False
493,Dragon,Ground,108,130,95,80,156,102,False
494,Dragon,Ground,108,170,115,120,166,92,False
495,Normal,,135,85,40,40,156,5,False
496,Fighting,,40,70,40,35,111,60,False
497,Fighting,Steel,70,110,70,115,141,90,False
498,Fighting,Steel,70,145,88,140,141,112,False
499,Ground,,68,72,78,38,113,32,False
500,Ground,,108,112,118,68,143,47,False
501,Poison,Bug,40,50,90,30,126,65,False
502,Poison,Dark,70,90,110,60,146,95,False
503,Poison,Fighting,48,61,40,61,111,50,False
504,Poison,Fighting,83,106,65,86,136,85,False
505,Grass,,74,100,72,90,143,46,False
506,Water,,49,49,56,49,132,66,False
507,Water,,69,69,76,69,157,91,False
508,Water,Flying,45,20,50,60,191,50,False
509,Grass,Ice,60,62,50,62,131,40,False
510,Grass,Ice,90,92,75,92,156,60,False
511,Grass,Ice,90,132,105,132,176,30,False
512,Dark,Ice,70,120,65,45,156,125,False
513,Electric,Steel,70,70,115,130,161,60,False
514,Normal,,110,85,95,80,166,50,False
515,Ground,Rock,115,140,130,55,126,40,False
516,Grass,,100,100,125,110,121,50,False
517,Electric,,75,123,67,95,156,95,False
518,Fire,,75,95,67,125,166,83,False
519,Fairy,Flying,85,50,95,120,186,80,False
520,Bug,Flying,86,76,86,116,127,95,False
521,Grass,,65,110,130,60,136,95,False
522,Ice,,65,60,110,130,166,65,False
523,Ground,Flying,75,95,125,45,146,95,False
524,Ice,Ground,110,130,80,70,131,80,False
525,Normal,,85,80,70,135,146,90,False
526,Psychic,Fighting,68,125,65,65,186,80,False
527,Psychic,Fighting,68,165,95,65,186,110,False
528,Rock,Steel,60,55,145,75,221,40,False
529,Ghost,,45,100,135,65,206,45,False
530,Ice,Ghost,70,80,70,80,141,110,False
531,Electric,Ghost,50,50,77,95,148,91,False
532,Electric,Fire,50,65,107,105,178,86,False
533,Electric,Water,50,65,107,105,178,86,False
534,Electric,Ice,50,65,107,105,178,86,False
535,Electric,Flying,50,65,107,105,178,86,False
536,Electric,Grass,50,65,107,105,178,86,False
537,Psychic,,75,75,130,75,201,95,True
538,Psychic,,80,105,105,105,176,80,True
539,Psychic,,75,125,70,125,141,115,True
540,Steel,Dragon,100,120,120,150,171,90,True
541,Water,Dragon,90,120,100,150,191,100,True
542,Fire,Steel,91,90,106,130,177,77,True
543,Normal,,110,160,110,80,181,100,True
544,Ghost,Dragon,150,100,120,100,191,90,True
545,Ghost,Dragon,150,120,100,120,171,90,True
546,Psychic,,120,70,120,75,201,85,False
547,Water,,80,80,80,80,151,80,False
548,Water,,100,100,100,100,171,100,False
549,Dark,,70,90,90,135,161,125,True
550,Grass,,100,100,100,100,171,100,True
551,Grass,Flying,100,103,75,120,146,127,True
552,Normal,,120,120,120,120,191,120,True
553,Psychic,Fire,100,100,100,100,171,100,True
554,Grass,,45,45,55,45,126,63,False
555,Grass,,60,60,75,60,146,83,False
556,Grass,,75,75,95,75,166,113,False
557,Fire,,65,63,45,45,116,45,False
558,Fire,Fighting,90,93,55,70,126,55,False
559,Fire,Fighting,110,123,65,100,136,65,False
560,Water,,55,55,45,63,116,45,False
561,Water,,75,75,60,83,131,60,False
562,Water,,95,100,85,108,141,70,False
563,Normal,,45,55,39,35,110,42,False
564,Normal,,60,85,69,60,140,77,False
565,Normal,,45,60,45,25,116,55,False
566,Normal,,65,80,65,35,136,60,False
567,Normal,,85,110,90,45,161,80,False
568,Dark,,41,50,37,50,108,66,False
569,Dark,,64,88,50,88,121,106,False
570,Grass,,50,53,48,53,119,64,False
571,Grass,,75,98,63,98,134,101,False
572,Fire,,50,53,48,53,119,64,False
573,Fire,,75,98,63,98,134,101,False
574,Water,,50,53,48,53,119,64,False
575,Water,,75,98,63,98,134,101,False
576,Psychic,,76,25,45,67,126,24,False
577,Psychic,,116,55,85,107,166,29,False
578,Normal,Flying,50,55,50,36,101,43,False
579,Normal,Flying,62,77,62,50,113,65,False
580,Normal,Flying,80,115,80,65,126,93,False
581,Electric,,45,60,32,50,103,76,False
582,Electric,,75,100,63,80,134,116,False
583,Rock,,55,75,85,25,96,15,False
584,Rock,,70,105,105,50,111,20,False
585,Rock,,85,135,130,60,151,25,False
586,Psychic,Flying,55,45,43,55,114,72,False
587,Psychic,Flying,67,57,55,77,126,114,False
588,Ground,,60,85,40,30,116,68,False
589,Ground,Steel,110,135,60,50,136,88,False
590,Normal,,103,60,86,60,157,50,False
591,Normal,Fairy,103,60,126,80,197,50,False
592,Fighting,,75,80,55,25,106,35,False
593,Fighting,,85,105,85,40,121,40,False
594,Fighting,,105,140,95,55,136,45,False
595,Water,,50,50,40,50,111,64,False
596,Water,Ground,75,65,55,65,126,69,False
597,Water,Ground,105,95,75,85,146,74,False
598,Fighting,,120,100,85,30,156,45,False
599,Fighting,,75,125,75,30,146,85,False
600,Bug,Grass,45,53,70,40,131,42,False
601,Bug,Grass,55,63,90,50,151,42,False
602,Bug,Grass,75,103,80,70,151,92,False
603,Bug,Poison,30,45,59,30,110,57,False
604,Bug,Poison,40,55,99,40,150,47,False
605,Bug,Poison,60,100,89,55,140,112,False
606,Grass,Fairy,40,27,60,37,121,66,False
607,Grass,Fairy,60,67,85,77,146,116,False
608,Grass,,45,35,50,70,121,30,False
609,Grass,,70,60,75,110,146,90,False
610,Water,,70,92,65,80,126,98,False
611,Ground,Dark,50,72,35,35,106,65,False
612,Ground,Dark,60,82,45,45,116,74,False
613,Ground,Dark,95,117,80,65,141,92,False
